Status,Cloacimonadaceae_W5___Paenibacillaceae_Paenibacillus,Halomonadaceae_g.___Paenibacillaceae_Paenibacillus,Paenibacillaceae_Paenibacillus___Yersiniaceae_g.,Comamonadaceae_Diaphorobacter___Paenibacillaceae_Paenibacillus,Comamonadaceae_g.___Paenibacillaceae_Paenibacillus,Actinomycetaceae_Actinomyces___Paenibacillaceae_Paenibacillus,Erwiniaceae_Pantoea___Paenibacillaceae_Paenibacillus,Paenibacillaceae_Paenibacillus___Pseudomonadaceae_Pseudomonas,Lactobacillaceae_Lactobacillus___Paenibacillaceae_Paenibacillus,Chroococcidiopsaceae_Chroococcidiopsis___Paenibacillaceae_Paenibacillus,Micrococcaceae_Rothia___Paenibacillaceae_Paenibacillus,Beijerinckiaceae_Psychroglaciecola___Paenibacillaceae_Paenibacillus
pos,-10.913979019002962,-10.913979019002962,7.258099112558629,-10.913979019002962,-10.913979019002962,-10.913979019002962,-10.913979019002962,10.913979019002962,-10.913979019002962,-10.913979019002962,-7.286269989525325,-6.5241299374784285
neg,-5.495944594834589,-5.495944594834589,5.495944594834589,-5.495944594834589,-5.495944594834589,0.8198988861990893,0.6931471805599453,-3.924912550154143,-0.6664789334777841,-5.495944594834589,-5.495944594834589,-5.495944594834589
pos,0,0,-6.675579391994886,4.6474311447026,0,0,0,-8.336310598816537,4.13660552093661,0,7.882180318727092,5.677050561883759
neg,-4.759830968605663,-4.759830968605663,4.759830968605663,1.9694406464655074,-4.759830968605663,-4.759830968605663,-4.759830968605663,-3.0040310763686864,-4.759830968605663,-4.759830968605663,-4.759830968605663,2.427748235948052
pos,-4.500746281386146,3.4087445872975386,4.500746281386146,-4.500746281386146,-4.500746281386146,-4.500746281386146,-4.500746281386146,-3.454307206976104,1.303406701314123,-4.500746281386146,-4.500746281386146,3.5948184937100436
neg,-5.537183223218452,1.1249295969854831,-0.03922071315328127,-5.537183223218452,-5.537183223218452,-5.537183223218452,2.2762411176544437,-2.6347624053323777,-3.218875824868201,-5.537183223218452,-5.537183223218452,-5.537183223218452
pos,-9.37683779506214,-9.37683779506214,9.37683779506214,-5.7775417465652765,-9.37683779506214,-9.37683779506214,-4.6553989604869725,6.337157534500699,-6.337157534500699,-9.37683779506214,-9.37683779506214,-5.238545245832589
pos,0,0,-7.200780029108645,7.133857716615799,0,0,0,-5.573323611171867,4.091719070247652,0,6.990389630958512,5.768815631155567
neg,0,0,-5.876980790818187,0,4.02068280045256,0,8.134829989970841,-8.163817526844094,0,7.2234292433908776,0,7.29404681060483
pos,5.480780616149208,0,0,0,0,0,5.402309000707713,-7.820406980823603,5.0658367640865,0,0,0
pos,-11.0362347138713,-11.0362347138713,6.6520415776847885,-11.0362347138713,-6.231538592212083,-6.465939298050928,-11.0362347138713,5.0749390458936245,-11.0362347138713,-11.0362347138713,-11.0362347138713,-11.0362347138713
neg,1.533930359925955,2.7495992040150825,5.896321913695982,-5.896321913695982,-5.896321913695982,-5.896321913695982,3.700927792630111,-2.2072749131897207,-1.0116009116784799,-5.896321913695982,2.109294504829517,1.1948403207626634
pos,-0.6455191315706904,-5.894574309379944,5.894574309379944,0.9064867317775344,-1.1878434223960521,-5.894574309379944,-5.894574309379944,-2.5421779750490594,-1.0745147370890489,-5.894574309379944,-5.894574309379944,1.7266787957323957
pos,-8.727373153596778,-8.727373153596778,8.727373153596778,-8.727373153596778,-8.727373153596778,-0.7023075499586096,-8.727373153596778,3.4446824936018943,-2.728004815631755,-2.4728219105729283,-8.727373153596778,-3.4211519961917003
pos,-10.450573513502578,-10.450573513502578,6.671579646924962,-10.450573513502578,-10.450573513502578,-10.450573513502578,-4.911170707580983,3.828250609673958,-10.450573513502578,-10.450573513502578,-10.450573513502578,-5.782825072859413
neg,-3.821662075900973,-3.821662075900973,-2.4932054526026954,0.6418538861723948,0.40546510810816455,-3.821662075900973,-3.821662075900973,-4.623010104116422,1.1631508098056809,-3.821662075900973,-3.821662075900973,-3.821662075900973
neg,-4.509217057138155,-4.509217057138155,-0.9420432279765697,1.3012573184339784,0.8987464222232456,-3.1354942159291497,-4.509217057138155,-2.4647778823573865,-1.5260563034950494,-4.509217057138155,-0.3022808718729337,0.9835429588833224
pos,-11.001250813943445,-11.001250813943445,11.001250813943445,-11.001250813943445,-11.001250813943445,-11.001250813943445,-8.228655580682133,6.661477477537915,-11.001250813943445,-11.001250813943445,-7.1186145961904,-8.099443849202126
pos,-10.070291991682687,-10.070291991682687,5.745252907543497,-10.070291991682687,-10.070291991682687,-5.4341974839064084,-10.070291991682687,4.358958546423607,-7.216104656691451,-10.070291991682687,-10.070291991682687,-5.5384584942308175
pos,2.5257286443082556,-3.298112543782149,3.298112543782149,-3.298112543782149,-3.298112543782149,-3.298112543782149,-3.298112543782149,-4.352426164897591,1.5040773967762742,-3.298112543782149,-3.298112543782149,3.7803945629497093
