numRatios,compTime,Statistic,Value,Seed,permNumber,type,test,p,scenario,sampleDesign,dimensions,methStat,reject,Distr
117,15046.491,testStat,529.1170094413282,13,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,250,selEnergyPerm,1,different
1225,1.2630000000000052,R,-0.657998299319728,13,150,Empirical,ANOSIM,1,scenario1,Unbalanced,50,ANOSIM,0,different
1225,13.402999999999999,estat,252.9107330510328,13,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,50,Energy,1,different
1225,5.737000000000002,permDispF,299.91541544730154,13,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,50,PERMDISP2,1,different
30,1842.557,testStat,149.9234421972858,13,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,50,selEnergyPerm,1,different
11175,1.3389999999999986,R,0.011274038461538457,14,150,Empirical,ANOSIM,0.039735099337748346,scenario1,Balanced,150,ANOSIM,1,different
11175,129.89999999999998,estat,665.7474471068491,14,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,150,Energy,1,different
11175,5.8859999999999815,permDispF,1332.407169812399,14,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,150,PERMDISP2,1,different
62,4977.025,testStat,852.05593913608,14,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,150,selEnergyPerm,1,different
31125,1.3030000000000008,R,0.0029078525641026156,14,150,Empirical,ANOSIM,0.23841059602649006,scenario1,Balanced,250,ANOSIM,0,different
31125,270.392,estat,914.8941534594121,14,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,250,Energy,1,different
31125,4.119000000000035,permDispF,1991.0699472390297,14,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,250,PERMDISP2,1,different
105,9147.98,testStat,1835.348325790368,14,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,250,selEnergyPerm,1,different
1225,1.3669999999999973,R,0.12323557692307695,14,150,Empirical,ANOSIM,0.006622516556291391,scenario1,Balanced,50,ANOSIM,1,different
1225,15.467999999999996,estat,326.2045785628719,14,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,50,Energy,1,different
1225,6.038999999999994,permDispF,299.9638404917417,14,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,50,PERMDISP2,1,different
30,1973.434,testStat,202.4818158705983,14,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,50,selEnergyPerm,1,different
11175,1.904,R,-0.7882125850340137,14,150,Empirical,ANOSIM,1,scenario1,Unbalanced,150,ANOSIM,0,different
11175,156.416,estat,490.6582442037045,14,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,150,Energy,1,different
11175,6.614999999999977,permDispF,687.334420768082,14,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,150,PERMDISP2,1,different
72,6009.272,testStat,303.4753264847057,14,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,150,selEnergyPerm,1,different
31125,2.237000000000002,R,-0.8022874149659864,14,150,Empirical,ANOSIM,1,scenario1,Unbalanced,250,ANOSIM,0,different
31125,398.052,estat,712.3675484549223,14,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,250,Energy,1,different
31125,6.6100000000000065,permDispF,1045.4494346398772,14,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,250,PERMDISP2,1,different
92,15064.521999999999,testStat,704.1036724382823,14,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,250,selEnergyPerm,1,different
1225,1.708999999999996,R,-0.662017006802721,14,150,Empirical,ANOSIM,1,scenario1,Unbalanced,50,ANOSIM,0,different
1225,13.774000000000001,estat,255.683092856402,14,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,50,Energy,1,different
1225,6,permDispF,290.1496592765073,14,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,50,PERMDISP2,1,different
32,1883.915,testStat,65.73169202917622,14,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,50,selEnergyPerm,1,different
11175,1.3449999999999989,R,0.010350961538461554,15,150,Empirical,ANOSIM,0.039735099337748346,scenario1,Balanced,150,ANOSIM,1,different
11175,130.492,estat,634.7342898495452,15,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,150,Energy,1,different
11175,5.788000000000011,permDispF,1281.1085284201622,15,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,150,PERMDISP2,1,different
89,4939.102,testStat,967.7005839716563,15,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,150,selEnergyPerm,1,different
31125,1.9599999999999973,R,0.00143349358974351,15,150,Empirical,ANOSIM,0.3708609271523179,scenario1,Balanced,250,ANOSIM,0,different
31125,367.166,estat,920.8926952043669,15,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,250,Energy,1,different
31125,6.753000000000046,permDispF,1946.4452995252432,15,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,250,PERMDISP2,1,different
100,15019.072,testStat,1327.1941062378341,15,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,250,selEnergyPerm,1,different
1225,1.3669999999999973,R,0.08487339743589756,15,150,Empirical,ANOSIM,0.006622516556291391,scenario1,Balanced,50,ANOSIM,1,different
1225,15.732,estat,377.0020483266117,15,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,50,Energy,1,different
1225,6.086999999999996,permDispF,420.7972526471714,15,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,50,PERMDISP2,1,different
32,2010.4840000000002,testStat,332.83839090649593,15,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,50,selEnergyPerm,1,different
11175,1.9110000000000014,R,-0.7960136054421769,15,150,Empirical,ANOSIM,1,scenario1,Unbalanced,150,ANOSIM,0,different
11175,157.247,estat,514.389284197678,15,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,150,Energy,1,different
11175,6.691000000000017,permDispF,869.0121425641915,15,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,150,PERMDISP2,1,different
77,6077.119,testStat,917.6693761685221,15,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,150,selEnergyPerm,1,different
31125,1.5090000000000003,R,-0.7945935374149661,15,150,Empirical,ANOSIM,1,scenario1,Unbalanced,250,ANOSIM,0,different
31125,275.307,estat,737.9868948357803,15,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,250,Energy,1,different
31125,4.430000000000021,permDispF,878.0004126834168,15,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,250,PERMDISP2,1,different
105,9405.205,testStat,354.72630624494553,15,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,250,selEnergyPerm,1,different
1225,1.3170000000000002,R,-0.6764251700680272,15,150,Empirical,ANOSIM,1,scenario1,Unbalanced,50,ANOSIM,0,different
1225,15.518,estat,288.23791248442114,15,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,50,Energy,1,different
1225,6.259,permDispF,321.80293747121175,15,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,50,PERMDISP2,1,different
37,1999.47,testStat,146.91187650808476,15,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,50,selEnergyPerm,1,different
11175,1.4339999999999975,R,0.008081730769230824,16,150,Empirical,ANOSIM,0.09933774834437085,scenario1,Balanced,150,ANOSIM,0,different
